Name,Category
BYJU'Sâ€“TheLearningApp.txt,Education
FLStudioMobile.txt,Music&Video
RhythmwithTabla&TanpuraPREMIUM.txt,Music&Video
CryptoTabBrowserProâ€”mineonaPROlevel.txt,Communication
KWGTKustomWidgetProKey.txt,Tools
ShareChat-MadeinIndia.txt,Social
QuickHealTotalSecurity.txt,Security
GameBooster4xFasterPro-GFXTool&LagFix.txt,Tools
PowerampFullVersionUnlocker.txt,Tools
SAXVideoPlayer-AllinoneHdFormatpro2021.txt,Entertainment
"MVBitmaster,MVmastervideostatusmaker-MVBit.txt",Tools
Vido:LyricalVideoStatusMaker.txt,Tools
InternetOptimizerPro|No-Ads.txt,Tools
TorquePro(OBD2&Car).txt,Tools
GameBoosterVIP-FreeFireGFX-LagFix.txt,Tools
GooglePay-asimpleandsecurepaymentapp.txt,Tools
"Meesho-Resell,WorkFromHome,EarnMoneyOnline.txt",Home&Business
FrancoKernelManager-foralldevices&kernels.txt,Tools
VPNPro-FreeforLifetime.txt,Tools
WynkMusic-NewMP3HindiTamilSong&PodcastApp.txt,Music&Video
FluidWalls-4KLiquidStyleWallpapers.txt,Tools
"KineMaster-VideoEditor,VideoMaker.txt",Music&Video
Telegram.txt,Social
InstagramLite.txt,Social
SnackyTakatak.txt,Tools
MXPlayerPro.txt,Music&Video
FreeVPNTomato|FastestFreeHotspotVPNProxy.txt,Tools
Instagram.txt,Social
Hotstar.txt,Music&Video
Tasker.txt,Tools
VPNMaster-Free&Fast&SecureVPNProxy.txt,Tools
"ShareKaro-Share&FileTransferApp,Shareit.txt",Tools
NavigationPro:GoogleMapsNavionSamsungWatch.txt,Tools
Moj-SnackonIndianShortVideos|MadeinIndia.txt,Music&Video
MXTakaTakShortVideoApp|MadeinIndiaforYou.txt,Music&Video
InternetSpeedMeter.txt,Tools
Josh-SnackonShortVideoswithTopIndianApp.txt,Tools
TouchRetouch.txt,Tools
ShareMe-India'sbestfiletransferapp.txt,Tools
VideoEditor&VideoMaker-InShot.txt,Music&Video
"JioSaavnMusic&Radioâ€“JioTunes,Podcasts,Songs.txt",Music&Video
Dailyhunt-100%IndianAppforNews&Videos.txt,News&Magazines
"MXPlayer:VideoPlayer,Movies,Songs&GamesApp.txt",Music&Video
PGT+ðŸ”§:ProGFX&Optimizer(withadvancesetting).txt,Tools
"PhonePeâ€“UPI,Recharges,Investments&Insurance.txt",Finance
RewardsGo.txt,E-Commerce
Facebook.txt,Social
WhatsAppMessenger.txt,Social
DiskDiggerProfilerecovery.txt,Tools
"1DM+[formerlyIDM+]:Video,TorrentDownloader.txt",Tools
"Noizz-videoeditor,videomakerphotoswithsong.txt",Tools
GaanaMusicHindiSongFreeTamilTeluguMP3App.txt,Music&Video
"ZEE5:Movies,TVShows,WebSeries.txt",Entertainment
"Truecaller:CallerID,SpamBlocking&Chat.txt",Communication
"JioTVâ€“News,Movies,Entertainment,LIVETV.txt",Entertainment
CrayonIconPack.txt,Tools
Snapchat.txt,Social
SimpleGalleryPro:Video&PhotoManager&Editor.txt,Tools
GamersGLToolProwithGameTurbo&PingBooster.txt,Tools
MyJio:ForEverythingJio.txt,Productivity
"Paytm-UPI,MoneyTransfer,Recharge,BillPayment.txt",Finance
SnackVideoMakerAppwithSong-Mast.txt,Tools
DroidCamX.txt,Tools
PandaGamepadPro(BETA).txt,Tools
PLAYit-ANewAll-in-OneVideoPlayer.txt,Music&Video
FactTechzUltimateBrainBooster-BinauralBeats.txt,Productivity
Public-IndianLocalVideos.txt,Music&Video
RAM&GameBoosterbyAugustro(67%OFF).txt,Tools
SDMaidPro-Unlocker.txt,Tools
FlipkartOnlineShoppingApp.txt,E-Commerce
ScreenMirroringProApp.txt,Tools
FacebookLite.txt,Social
WhatsAppBusiness.txt,Communication
